feature_set,row_id,point_id,k,wq,neighbor_row_id,neighbor_point_id,neighbor_k,neighbor_wq,d_O,d_theta
ringdown_plus_photon_geometry,47,k0p001000000_wqm0p640000000,0.001,-0.64,35,k0p000750000_wqm0p666666667,0.00075,-0.6666666666666666,0.03876572704228405,0.14254816675001236
ringdown_plus_photon_geometry,48,k0p001000000_wqm0p610000000,0.001,-0.61,36,k0p000750000_wqm0p640000000,0.00075,-0.64,0.036569535851226465,0.15185922589620934
ringdown_plus_photon_geometry,49,k0p001000000_wqm0p580000000,0.001,-0.58,37,k0p000750000_wqm0p610000000,0.00075,-0.61,0.03200415294452326,0.15185922589620934
ringdown_plus_photon_geometry,50,k0p001000000_wqm0p550000000,0.001,-0.55,62,k0p001250000_wqm0p525000000,0.00125,-0.525,0.026781458707604178,0.13809523809523816
ringdown_plus_photon_geometry,51,k0p001000000_wqm0p525000000,0.001,-0.525,52,k0p001000000_wqm0p500000000,0.001,-0.5,0.022289952464845737,0.09523809523809532
ringdown_plus_photon_geometry,52,k0p001000000_wqm0p500000000,0.001,-0.5,53,k0p001000000_wqm0p475000000,0.001,-0.475,0.017129008740888373,0.09523809523809532
ringdown_plus_photon_geometry,53,k0p001000000_wqm0p475000000,0.001,-0.475,54,k0p001000000_wqm0p450000000,0.001,-0.45,0.013257989910086138,0.09523809523809511
ringdown_plus_photon_geometry,54,k0p001000000_wqm0p450000000,0.001,-0.45,53,k0p001000000_wqm0p475000000,0.001,-0.475,0.013257989910086138,0.09523809523809511
ringdown_plus_photon_geometry,55,k0p001250000_wqm0p712500000,0.00125,-0.7125,67,k0p001500000_wqm0p690000000,0.0015,-0.69,0.10288423502128287,0.13170777796132715
ringdown_plus_photon_geometry,56,k0p001250000_wqm0p690000000,0.00125,-0.69,44,k0p001000000_wqm0p712500000,0.001,-0.7125,0.06395540391783243,0.13170777796132715
ringdown_plus_photon_geometry,57,k0p001250000_wqm0p666666667,0.00125,-0.6666666666666666,45,k0p001000000_wqm0p690000000,0.001,-0.69,0.05335870348737796,0.13379549531991436
ringdown_plus_photon_geometry,58,k0p001250000_wqm0p640000000,0.00125,-0.64,46,k0p001000000_wqm0p666666667,0.001,-0.6666666666666666,0.05190895256253023,0.14254816675001236
ringdown_plus_photon_geometry,59,k0p001250000_wqm0p610000000,0.00125,-0.61,47,k0p001000000_wqm0p640000000,0.001,-0.64,0.04880188864590697,0.15185922589620934
ringdown_plus_photon_geometry,60,k0p001250000_wqm0p580000000,0.00125,-0.58,48,k0p001000000_wqm0p610000000,0.001,-0.61,0.03933899885031938,0.15185922589620934
ringdown_plus_photon_geometry,61,k0p001250000_wqm0p550000000,0.00125,-0.55,73,k0p001500000_wqm0p525000000,0.0015,-0.525,0.02870085032716861,0.13809523809523816
ringdown_plus_photon_geometry,62,k0p001250000_wqm0p525000000,0.00125,-0.525,74,k0p001500000_wqm0p500000000,0.0015,-0.5,0.025622691572691526,0.13809523809523816
ringdown_plus_photon_geometry,63,k0p001250000_wqm0p500000000,0.00125,-0.5,64,k0p001250000_wqm0p475000000,0.00125,-0.475,0.021274361075966364,0.09523809523809532
