protocol,direction,model,feature_set,fold,seed,target,R2,MAE,RMSE,NMAE,NRMSE,n_scored,joint_error_median
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2029,k,0.9679347022638775,4.114164027779846e-05,5.005098785872833e-05,0.01645665611111938,0.02002039514349133,16,0.03269828068977659
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2029,wq,0.9492138742168773,0.006141555299708522,0.007558729490199595,0.02339640114174675,0.028795159962665122,16,0.03269828068977659
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2030,k,0.8121312402573242,0.00010773439086903994,0.00012114968780354554,0.043093756347615975,0.048459875121418215,16,0.052477273366039294
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g4,2030,wq,0.9275229079771695,0.007169218024371253,0.009029769018401539,0.027311306759509536,0.0343991200701011,16,0.052477273366039294
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2026,k,0.9868990339814052,2.7651137631573927e-05,3.1992389254363586e-05,0.011060455052629571,0.012796955701745435,16,0.08672193047056125
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2026,wq,-0.43290709484545853,0.02646918867114018,0.03345831238792559,0.1008350044614864,0.12746023766828796,16,0.08672193047056125
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2027,k,0.9701910130004259,3.7062220811323794e-05,4.8257922762399595e-05,0.014824888324529517,0.019303169104959838,16,0.061920531424119823
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2027,wq,0.02659306315008292,0.020856165082849,0.027576696129413294,0.07945205745847238,0.10505408049300302,16,0.061920531424119823
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2028,k,0.9367783005654713,6.0115626634933595e-05,7.02794085655433e-05,0.024046250653973436,0.02811176342621732,16,0.04038287048131771
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2028,wq,0.8565040384527483,0.008694857082937508,0.010588022476307392,0.03312326507785717,0.04033532371926625,16,0.04038287048131771
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2029,k,0.9681533275284044,4.182716612910431e-05,4.988006903406814e-05,0.016730866451641725,0.019952027613627254,16,0.03345316962260826
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2029,wq,0.8467578294795817,0.008466509213252812,0.010941683861228896,0.032253368431439285,0.04168260518563389,16,0.03345316962260826
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2030,k,0.9791868412744902,3.2974432265923935e-05,4.0324037811588945e-05,0.013189772906369574,0.016129615124635576,16,0.10773112787066522
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g5,2030,wq,-0.5069489878434505,0.02837722965540348,0.03431186233291187,0.10810373202058468,0.13071185650633094,16,0.10773112787066522
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2026,k,-1328.5005100857672,0.004686276509923569,0.010191527233464597,1.8745106039694277,4.076610893385839,12,0.6565318798079974
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2026,wq,-2519.816249017987,0.5231363922643685,0.9395076912987681,1.992900541959499,3.579076919233402,12,0.6565318798079974
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2027,k,-80.93066092604059,0.0014746914690160465,0.002529986736100986,0.5898765876064186,1.0119946944403944,12,0.3059649129846412
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2027,wq,-1346.3113983424983,0.2878937908378664,0.6868529011699271,1.0967382508109196,2.6165824806473412,12,0.3059649129846412
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2028,k,-90728.01323922636,0.04027988344724397,0.08419147319838606,16.11195337889759,33.676589279354424,12,7.66513213601959
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2028,wq,-110843.27255052487,3.6000274576628333,6.229976002385533,13.714390314906032,23.73324191384965,12,7.66513213601959
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2029,k,-3026.841225977184,0.007248398552582147,0.015380185167268549,2.899359421032859,6.15207406690742,12,0.651873031132931
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2029,wq,-9826.863409687365,0.892186095877944,1.8550657236277375,3.3988041747731197,7.06691704239138,12,0.651873031132931
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2030,k,-147.43101633836926,0.0014362525990615006,0.0034053154261294355,0.5745010396246002,1.3621261704517742,12,0.5774143790356874
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g6,2030,wq,-62.91846499168323,0.11993471343953466,0.1496038993734323,0.4568941464363225,0.5699196166606945,12,0.5774143790356874
grouped_physical_interpolation,,mlp,ringdown_plus_all_shooting,blocks_3x3_shifted_g7,2026,k,0.7049210995183504,0.00012093320153885947,0.00015183227292024868,0.04837328061554379,0.060732909168099466,16,0.03934088378406475
