k,wq,feature,feature_group,value_81,value_161,difference,absolute_difference,normalized_difference,convergence_classification
0.0005,-0.6666666666666666,timing__excess_time_delay__cos2,timing,0.1946132597329586,0.1946256559789585,1.2396245999912736e-05,1.2396245999912736e-05,0.00027869842711435806,converged
0.0005,-0.64,timing__excess_time_delay__cos2,timing,0.1928949695166917,0.1929089028555482,1.3933338856519928e-05,1.3933338856519928e-05,0.0003132560957398561,converged
0.0005,-0.61,timing__excess_time_delay__cos2,timing,0.1914520670760676,0.19146725600899833,1.518893293073198e-05,1.518893293073198e-05,0.00034148497193184764,converged
0.0005,-0.58,timing__excess_time_delay__cos2,timing,0.1903908729666142,0.1904069526591756,1.6079692561399295e-05,1.6079692561399295e-05,0.0003615114628554462,converged
0.0005,-0.55,timing__excess_time_delay__cos2,timing,0.1896082269115902,0.18962493544109027,1.6708529500059077e-05,1.6708529500059077e-05,0.00037564928052356307,converged
0.0005,-0.525,timing__excess_time_delay__cos2,timing,0.1891144156611364,0.18913150213420102,1.708647306461475e-05,1.708647306461475e-05,0.0003841463914215237,converged
0.0005,-0.5,timing__excess_time_delay__cos2,timing,0.1887299339292713,0.188747299810167,1.7365880895708896e-05,1.7365880895708896e-05,0.00039042817407168416,converged
0.0005,-0.475,timing__excess_time_delay__cos2,timing,0.1884301279632122,0.18844769884096824,1.7570877756029057e-05,1.7570877756029057e-05,0.0003950370131133596,converged
0.0005,-0.45,timing__excess_time_delay__cos2,timing,0.1881959677180462,0.18821368759333393,1.7719875287730558e-05,1.7719875287730558e-05,0.00039838684803349773,converged
0.00075,-0.7125,timing__excess_time_delay__cos2,timing,0.2055193580786836,0.20552243648553747,3.0784068538736165e-06,3.0784068538736165e-06,6.921023898676066e-05,converged
0.00075,-0.69,timing__excess_time_delay__cos2,timing,0.2016791100787182,0.2016856774573218,6.567378603605789e-06,6.567378603605789e-06,0.00014765099749571822,converged
0.00075,-0.6666666666666666,timing__excess_time_delay__cos2,timing,0.1985876298133318,0.1985969833254245,9.353512092691307e-06,9.353512092691307e-06,0.00021029020465119404,converged
0.00075,-0.64,timing__excess_time_delay__cos2,timing,0.1958932898153548,0.19590503425063,1.1744435275184983e-05,1.1744435275184983e-05,0.0002640441016226589,converged
