k,wq,observable_set,sigma_max,sigma_min,condition_number,cosine_similarity,sensitivity_angle_deg,numerical_rank,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.00025,-0.61,ringdown_plus_photon_geometry,3.78501961075216,0.4770685984959512,7.933910600456934,-0.8729142447539896,150.79908013781136,2,3.2606030533396146,central,central,central,,31,3.78501961075216e-10,0.0025,0.2625
0.00025,-0.61,ringdown_plus_all_shooting,5.687767571682622,0.628154287148813,9.054730164303026,-0.9041238101453843,154.7055323496096,2,12.764868288325742,central,central,central,,75,5.687767571682623e-10,0.0025,0.2625
0.00025,-0.58,orbital,1.9918486969181235,0.02842273306573411,70.07942171892883,-0.9987433799369955,177.12733413406866,2,0.003205120518398886,central,central,central,,18,1.9918486969181237e-10,0.0025,0.2625
0.00025,-0.58,photon_geometry,2.3013942001382413,0.12489400595247839,18.426778631905773,-0.982875949035537,169.38151443446836,2,0.08261620088774727,central,central,central,,27,2.3013942001382412e-10,0.0025,0.2625
0.00025,-0.58,redshift,1.0323339311205046,0.06483790332718574,15.921766098930279,-0.9788854773850613,168.2050691505888,2,0.004480209569675255,central,central,central,,9,1.0323339311205047e-10,0.0025,0.2625
0.00025,-0.58,timing,2.3030180023129203,0.23674602844041334,9.727799944456375,-0.8639127540415638,149.75878690563178,2,0.2972761514353024,central,central,central,,17,2.3030180023129203e-10,0.0025,0.2625
0.00025,-0.58,all_shooting,3.946864437607381,0.3638706796137793,10.846887805845402,-0.9388871448818861,159.8654989652537,2,2.062521782350909,central,central,central,,71,3.946864437607381e-10,0.0025,0.2625
0.00025,-0.58,ringdown_only,1.8751553452058476,0.05528700754438524,33.91674515392147,-0.8500300763112926,148.21494079851806,2,0.010747827127887919,central,central,central,,4,1.8751553452058476e-10,0.0025,0.2625
0.00025,-0.58,ringdown_plus_photon_geometry,2.9442597325487143,0.4032525589531218,7.30127972452863,-0.8199167856858303,145.07646454847753,2,1.4096344427913148,central,central,central,,31,2.9442597325487147e-10,0.0025,0.2625
0.00025,-0.58,ringdown_plus_all_shooting,4.354165228082275,0.5202404720405062,8.369524214454538,-0.874513984893772,150.98750798825742,2,5.1311898157652065,central,central,central,,75,4.354165228082275e-10,0.0025,0.2625
0.00025,-0.55,orbital,1.4088897245952032,0.02639085767025472,53.385522448676255,-0.9978970053699777,176.28351100297212,2,0.0013824868606407096,central,central,central,,18,1.4088897245952033e-10,0.0025,0.2625
0.00025,-0.55,photon_geometry,1.616767852762349,0.0911353417735628,17.740295052378382,-0.9817583843205993,169.0394666924739,2,0.02171045791578991,central,central,central,,27,1.616767852762349e-10,0.0025,0.2625
0.00025,-0.55,redshift,0.709898910511626,0.05503445265575839,12.89917272280435,-0.9683195913857031,165.53940084509188,2,0.0015263787894440439,central,central,central,,9,7.098989105116261e-11,0.0025,0.2625
0.00025,-0.55,timing,1.8812513351997355,0.17651221178636275,10.657910385694233,-0.8753302485260109,151.08408455384324,2,0.11026638991862261,central,central,central,,17,1.8812513351997357e-10,0.0025,0.2625
0.00025,-0.55,all_shooting,2.93312510465479,0.2862449918400627,10.246904533769634,-0.927670279940425,158.07451833371533,2,0.7049153505291686,central,central,central,,71,2.9331251046547904e-10,0.0025,0.2625
